('50plus', '50 plus')
('knotts berry farm', "knott's berry farm")
('sno bikes', 'snow bikes')
('dooney burke outlet store', 'dooney bourke outlet store')
('acchiles tendon', 'achilles tendon')
('soduko soduko', ' ')
('immuizations', 'immunizations')
('wow wow wubbzy', '  wubbzy')
('ialottery', 'ia lottery')
('disny chanal', 'disney chanal')
('volcanoe eruption', 'volcano eruption')
('this months weather', "this month's weather")
('warrior350', 'warrior 350')
('indocrin', 'endocrine')
('nirogen', 'nitrogen')
('apartment section8', 'apartment section 8')
('idressup', 'i dressup')
('winnegamie golf course', 'winagamie golf course')
('bangkokcowboy', 'bangkok cowboy')
('"diy+audio"', '"diy audio"')
('streat sesh', 'street sesh')
('michaels craft store', "michael's craft store")
('bigoaks', 'big oaks')
('clasificadosonline', 'clasificados online')
('tamaxifen', 'tamoxifen')
('freeone', 'freeones')
('claifornia labor code', 'california labor code')
('phillipine folk dances', 'philippine folk dances')
('cardiacablation', 'cardiac ablation')
('jelena witchhazel', 'jelena witch hazel')
('tseduction', 'tsseduction')
('creditablecoverage', 'creditable coverage')
('readykids', 'ready kids')
('illionois state tax', 'illinois state tax')
('celeberity news', 'celebrity news')
('schisencephaly', 'schizencephaly')
('galvestonmap', 'galveston map')
('nihmedline', 'nih medline')
('erythomycin', 'erythromycin')
('controling partners', 'controlling partners')
('enterprize zone', 'enterprise zone')
('labnews', 'lab news')
('aclasia', 'achalasia')
('torrenreactor', 'torrentreactor')
('sante fe', 'santa fe')
('bustedcelebrity', 'busted celebrity')
('hyabusa', 'hayabusa')
('directloans servicing center', 'direct loans servicing center')
('tvguide', 'tv guide')
('cuidad juarez consulate', 'ciudad juarez consulate')
('exgirlfriend movies', 'ex girlfriend movies')
('crockpot macaroni and cheese', 'crock pot macaroni and cheese')
('goatlist', 'goat list')
('bermese mountain dog', 'bernese mountain dog')
('lennin', 'lenin')
('bankruptcysales', 'bankruptcy sales')
('chevruel', 'chevreul')
('were is my refund', 'where is my refund')
('prostatatitis', 'prostatitis')
('goog', 'goo')
('imbd', 'imdb')
('14 day forcast', '14 day forecast')
('miltary record', 'military record')
('epsomsalts', 'epsom salts')
('womens cervix', "women's cervix")
('international drivers license', "international driver's license")
('nylons nylons', ' ')
('evolution of racoons', 'evolution of raccoons')
('small bussiness admin', 'small business admin')
('belleplain mn', 'belle plaine mn')
('createagraph', 'create a graph')
('trimethorprim', 'trimethoprim')
('monucleosis', 'mononucleosis')
('juliacarson', 'julia carson')
('almedicaid', 'al medicaid')
('eprocrates', 'epocrates')
('hsrd', 'hard')
('drivit', 'dryvit')
('classic childrens songs', "classic children's songs")
('nycocse', 'nyc ocse')
('hartland tornado', 'heartland tornado')
('the masters miracle', "the master's miracle")
('asthama', 'asthma')
('collegestation texas', 'college station texas')
('usatoday', 'usa today')
('w9 form', 'w 9 form')
('tinker air force base base exchange', 'tinker air force   exchange')
('low white boold cell count', 'low white blood cell count')
('kentuckystategovernment', 'kentucky state government')
('von richtofen', 'von richthofen')
('pdt to word', 'pdf to word')
('idahodepartmentoffishandgame', 'idaho department of fish and game')
('inmigration naturalization services', 'immigration naturalization services')
('visionsfcu', 'visions fcu')
('eurythromiacin', 'erythromycin')
('sulphur flower', 'sulfur flower')
('multicredit bank panama', 'multi credit bank panama')
('richardsrealm', 'richards realm')
('coopers hawk', "cooper's hawk")
('charcoal bricketts', 'charcoal briquettes')
('displegia', 'diplegia')
('fullbright scholarship', 'fulbright scholarship')
('chickapedia', 'chickipedia')
('emersonretailsolutions', 'emerson retail solutions')
('choctawcounty', 'choctaw county')
('sewards folley', "seward's folley")
('walkin bathtubs', 'walk in bathtubs')
('internal revnue sevice', 'internal revenue sevice')
('sirus star', 'sirius star')
('noaaweather', 'noaa weather')
('publishers clearinghouse sweepstakes', 'publishers clearing house sweepstakes')
('chld tax credit', 'child tax credit')
('lavastatin', 'lovastatin')
('aruaco', 'arauco')
('savingsbond value', 'savings bond value')
('miningclaims', 'mining claims')
('511road', '511 road')
('personality questionaire', 'personality questionnaire')
('neice', 'niece')
('choramphenicol', 'chloramphenicol')
('youll be in my heart', "you'll be in my heart")
('dali lahma', 'dalai lahma')
('concretehomes', 'concrete homes')
('fda1572', 'fda 1572')
('dinasaur park', 'dinosaur park')
('broadwinged hawk', 'broad winged hawk')
('sanbernardino county court', 'san bernardino county court')
('pennyarcade', 'penny arcade')
('maxillary sinustis', 'maxillary sinusitis')
('privatesecurity', 'private security')
('bursitus hip', 'bursitis hip')
('maydepartmentstores', 'may department stores')
('pleuresy', 'pleurisy')
('homephone', 'home phone')
('fetus developement', 'fetal developement')
('virizon wireless', 'verizon wireless')
('asprin poisoning', 'aspirin poisoning')
('gunella pass', 'guanella pass')
('gwinette county schools', 'gwinnett county schools')
('fedreal trade commision', 'federal trade commision')
('trigliserides', 'triglycerides')
('nations capital', "nation's capital")
('pluresy', 'pleurisy')
('teasum bikini', 'teaseum bikini')
('alexandrialacrosse', 'alexandria lacrosse')
('amerencips', 'ameren cips')
('colour jade', 'color jade')
('animalrescuesite', 'animal rescue site')
('driveawayservice', 'driveaway service')
('lovers knot coverlet', "lover's knot coverlet")
('guiac test', 'guaiac test')
('todaysvids', 'todays vids')
('free calander', 'free calendar')
('oklahomas state tree', "oklahoma's state tree")
('applebees', "applebee's")
('allchatnetwork', 'all chat network')
('uses for vinigar', 'uses for vinegar')
('lovetgp', 'love tgp')
('regalrailing', 'regal railing')
('vice presidents job', "vice president's job")
('unemployement office oregon', 'unemployment office oregon')
('real rose pedals', 'real rose petals')
('otooles', "o'tooles")
('tucow', 'tucows')
('disneychannel', 'disney channel')
('caldwell banker', 'coldwell banker')
('posion', 'poison')
('mometasonefuroate cream', 'mometasone furoate cream')
('firstenergycorporation', 'firstenergy corporation')
('filling state taxes', 'filing state taxes')
('verizonwireless employee discount', 'verizon wireless employee discount')
('latino maids', 'latina maids')
('mommoth caves', 'mammoth caves')
('suprise az theaters', 'surprise az theaters')
('hawiana', 'hawaiian')
('abestos certification', 'asbestos certification')
('singalong songs', 'sing along songs')
('beeltes', 'beetles')
('1010wins', '1010 wins')
('freeads', 'free ads')
('compact florescent bulbs', 'compact fluorescent bulbs')
('air registars', 'air registers')
('totalbenefits', 'total benefits')
('google satalite photos', 'google satellite photos')
('1930census', '1930 census')
('zapos', 'zappos')
('smokey mountains', 'smoky mountains')
('brittny star', 'brittany star')
('andkon arvade', 'andkon arcade')
('chapter7 bankruptcy', 'chapter 7 bankruptcy')
('sweets syndrome', "sweet's syndrome")
('gallileo', 'galileo')
('schwinn cyclocomputer', 'schwinn bicycle computer')
('intelus', 'intelius')
('dexamathasone', 'dexamethasone')
('remaindermen', 'remainderman')
('i9 form', 'i 9 form')
('tubal litigation', 'tubal ligation')
('sparkys towing', "sparky's towing")
('simplecasesearch', 'simple case search')
('nuclear regulatory comission', 'nuclear regulatory commission')
('catchers equipment bag', "catcher's equipment bag")
('sucker punch sallys', "sucker punch sally's")
('trukee', 'truckee')
('redcloud', 'red cloud')
('americanbaby magazine', 'american baby magazine')
('tvxxl', 'tv xxl')
('veiques', 'vieques')
('forgot to file 1099r', 'forgot to file 1099 r')
('colloidial silver', 'colloidal silver')
('flma laws', 'fmla laws')
('nasau county ny', 'nassau county ny')
('campbells beans', "campbell's beans")
('jewlery', 'jewelry')
('concusion', 'concussion')
('highwaywatch', 'highway watch')
('grandcanyon', 'grand canyon')
('kissimee', 'kissimmee')
('foresthill', 'forest hill')
('accomodation warrnambool', 'accommodation warrnambool')
('rock105', 'rock 105')
('careerfinder', 'careerbuilder')
('poboy', 'po boy')
('creatine clearance', 'creatinine clearance')
('interacial couple', 'interracial couple')
('ike waltons', "ike walton's")
('metcarpal', 'metacarpal')
('extenz', 'extenze')
('dot transportaion', 'dot transportation')
('gonzomovies', 'gonzo movies')
('malcomb baldridge', 'malcolm baldridge')
('myositus', 'myositis')
('thewashingtonmonument', 'the washington monument')
('coolgames', 'cool games')
('beasitality', 'bestiality')
('hobbybarn', 'hobby barn')
('clarabarton', 'clara barton')
('dicitis', 'discitis')
('1120h', '1120 h')
('dressup', 'dress up')
('custers last stand', "custer's last stand")
('healthyfamilies', 'healthy families')
('martim portugal', 'martin portugal')
('propionbacterium acnes', 'propionibacterium acnes')
('mrswages', 'mrs wages')
('gbc laminate', 'gbc laminator')
('reptillia', 'reptilia')
('grilled aspargus', 'grilled asparagus')
('amaneusis', 'amanuensis')
